A	B	C	D	E	F	G	H	I
A	0	3.5	3.8	4.87	3.38	2.66	2.37	4.05	1.75
B	3.76	0	5.09	4.57	3.83	2.4	1.47	2	1.95
C	3.2	3.25	0	2.81	3.32	2.26	1.22	1.77	1.72
D	3.87	4.24	3.98	0	3.77	1.78	1.3	2.98	1.79
E	3.15	2.62	4.42	3.34	0	1.68	1.53	3.31	1.83
F	1.9	1.34	1.23	0.77	1.37	0	2.11	0.67	1.19
G	0.76	0.48	0.81	0.45	0.62	1.91	0	0.44	0.73
H	3.71	2.34	1.84	2.37	2.99	0.40	1.15	0	1.16
I	1.03	0.65	0.81	0.84	0.74	0.56	0.90	0.87	0
