"all_names","ETS","ITS","matK","trnDT","trnLF"
"C flexuosa",TRUE,TRUE,TRUE,TRUE,TRUE
"C floribunda",TRUE,TRUE,FALSE,TRUE,TRUE
"C fodinarum",FALSE,FALSE,TRUE,FALSE,FALSE
"C foederalis",TRUE,FALSE,TRUE,TRUE,FALSE
"C geminata",TRUE,TRUE,FALSE,TRUE,TRUE
"C glandulosa",FALSE,FALSE,TRUE,TRUE,FALSE
"C glaucofilix",TRUE,TRUE,TRUE,TRUE,TRUE
"C glaziovii",TRUE,TRUE,FALSE,TRUE,FALSE
"C gonoclada",TRUE,TRUE,FALSE,TRUE,TRUE
"C grantii",FALSE,TRUE,FALSE,FALSE,TRUE
"C greggi",FALSE,FALSE,TRUE,TRUE,FALSE
"C gumminans",TRUE,TRUE,FALSE,TRUE,TRUE
"C gymnothyrsa",FALSE,TRUE,FALSE,FALSE,TRUE
"C harmsiana",FALSE,TRUE,FALSE,FALSE,TRUE
"C hedysaroides",TRUE,TRUE,TRUE,FALSE,TRUE
"C hispidula",TRUE,TRUE,TRUE,TRUE,TRUE
"C howardii",TRUE,TRUE,TRUE,TRUE,TRUE
"C huntii",FALSE,TRUE,FALSE,FALSE,TRUE
"C imbricans",TRUE,TRUE,FALSE,TRUE,TRUE
"C incurvata",TRUE,TRUE,TRUE,TRUE,TRUE
"C irwiniana",TRUE,TRUE,FALSE,FALSE,TRUE
"C isidorea",FALSE,TRUE,FALSE,FALSE,TRUE
"C jacobinea",FALSE,TRUE,TRUE,TRUE,TRUE
"C juruenensis",TRUE,FALSE,TRUE,TRUE,FALSE
"C kirkii",FALSE,TRUE,FALSE,TRUE,FALSE
"C kleinii",FALSE,TRUE,TRUE,FALSE,FALSE
"C kunthiana",FALSE,TRUE,TRUE,TRUE,TRUE
"C lagotois",TRUE,TRUE,TRUE,TRUE,TRUE
"C lamprosperma",TRUE,TRUE,TRUE,TRUE,TRUE
"C latifolia",TRUE,TRUE,FALSE,TRUE,TRUE
"C latistipula",TRUE,TRUE,TRUE,TRUE,TRUE
"C lavradiiflora",TRUE,TRUE,FALSE,TRUE,TRUE
"C leptadenia",FALSE,FALSE,TRUE,FALSE,FALSE
"C linearifolia",TRUE,FALSE,FALSE,TRUE,FALSE
"C lineata",TRUE,TRUE,TRUE,TRUE,TRUE
"C longicuspis",TRUE,TRUE,FALSE,FALSE,FALSE
"C longistyla",FALSE,TRUE,FALSE,FALSE,TRUE
"C lundii",TRUE,TRUE,FALSE,TRUE,TRUE
"C macedoi",FALSE,TRUE,FALSE,FALSE,TRUE
"C machaerifoliia",FALSE,TRUE,FALSE,FALSE,TRUE
"C megacycla",TRUE,FALSE,TRUE,FALSE,FALSE
"C microsenna",TRUE,FALSE,TRUE,TRUE,FALSE
"C mimosoides",TRUE,TRUE,TRUE,TRUE,TRUE
"C mollicaulis",TRUE,TRUE,TRUE,TRUE,TRUE
"C monticola",TRUE,TRUE,FALSE,TRUE,TRUE
"C mucronata",TRUE,TRUE,FALSE,TRUE,TRUE
"C multinervia",TRUE,FALSE,TRUE,TRUE,TRUE
"C multipennis",TRUE,TRUE,FALSE,TRUE,TRUE
"C multiseta",TRUE,TRUE,TRUE,TRUE,TRUE
"C myrophengens",TRUE,TRUE,FALSE,TRUE,TRUE
"C nanodes",TRUE,TRUE,FALSE,TRUE,TRUE
"C neesiana",TRUE,TRUE,FALSE,TRUE,TRUE
"C negrensis",TRUE,TRUE,TRUE,TRUE,TRUE
"C nictitans",FALSE,TRUE,TRUE,FALSE,TRUE
"C nigricans",FALSE,TRUE,FALSE,FALSE,TRUE
"C nuda",TRUE,FALSE,TRUE,TRUE,FALSE
"C nummulariifolia",TRUE,TRUE,TRUE,TRUE,TRUE
"C obolaria",TRUE,TRUE,FALSE,TRUE,TRUE
"C obtecta",FALSE,TRUE,FALSE,TRUE,TRUE
"C ochnacea",TRUE,TRUE,FALSE,TRUE,TRUE
"C ochrosperma",TRUE,TRUE,FALSE,TRUE,TRUE
"C olesiphylla",TRUE,TRUE,TRUE,TRUE,TRUE
"C oligandra",TRUE,TRUE,FALSE,TRUE,TRUE
"C oligosperma",TRUE,FALSE,TRUE,TRUE,FALSE
"C onusta",TRUE,TRUE,TRUE,TRUE,TRUE
"C oppositifolia",TRUE,FALSE,TRUE,TRUE,FALSE
"C orbiculata",TRUE,TRUE,TRUE,TRUE,TRUE
"C pachyclada",FALSE,TRUE,FALSE,FALSE,TRUE
"C paniculata",TRUE,TRUE,FALSE,TRUE,TRUE
